ID,run,sample,donor,irradiation,time,cell,Passage,condition,Seeding date, seeded cells x 105,Irradiation date,Detachment date,total cell numbers x 106,number of tubes,cell numbers/tube,%_Purity,%_Viability,read_name,rna_input_ng,rna_quality_rin,endpcr_cycles,tape_d1000_bp,tape_d1000_conc_ngul,pf_reads_run_total,paired_end,pf_reads_sample_percent,pf_reads_sample,cell_passage,seed_date,harvest_date,rna_extract_date,entity
D25,EKB_20240924,DSC_30_23_control_24h,30_23,control,24h,DSC,,DSC_control_24h,,,,,,,,,,D25_S65_R1_001.fastq.gz,81,nd,19,316,1.58,511748149,1,1178,6.00E+06,,,,,mRNA
D26,EKB_20240924,DSC_30_23_1x_UVB300_24h,30_23,1x_UVB300,24h,DSC,,DSC_1x_UVB300_24h,,,,,,,,,,D26_S66_R1_001.fastq.gz,219,nd,19,305,5.14,511748149,1,1336,6.80E+06,,,,,mRNA
D27,EKB_20240924,DSC_30_23_3x_UVB300_24h,30_23,3x_UVB300,24h,DSC,,DSC_3x_UVB300_24h,,,,,,,,,,D27_S67_R1_001.fastq.gz,31,nd,19,298,969,511748149,1,1305,6.70E+06,,,,,mRNA
D28,EKB_20240924,DSC_31_23_control_24h,31_23,control,24h,DSC,,DSC_control_24h,,,,,,,,,,D28_S68_R1_001.fastq.gz,500,nd,19,294,8.67,511748149,1,1.97,1.00E+07,,,,,mRNA
D29,EKB_20240924,DSC_31_23_1x_UVB300_24h,31_23,1x_UVB300,24h,DSC,,DSC_1x_UVB300_24h,,,,,,,,,,D29_S69_R1_001.fastq.gz,500,nd,19,304,9.04,511748149,1,1429,7.30E+06,,,,,mRNA
D30,EKB_20240924,DSC_31_23_3x_UVB300_24h,31_23,3x_UVB300,24h,DSC,,DSC_3x_UVB300_24h,,,,,,,,,,D30_S70_R1_001.fastq.gz,308,2.5,19,287,4.6,511748149,1,1129,5.80E+06,,,,,mRNA
D-a,EKB_20240924,DSC_03_24_control_6h,03_24,control,6h,DSC,,DSC_control_6h,,,,,,,,,,D-a_S35_R1_001.fastq.gz,500,nd,18,285,7.34,511748149,1,1295,6.60E+06,,,,,mRNA
D-b,EKB_20240924,DSC_03_24_1x_UVB300_6h,03_24,1x_UVB300,6h,DSC,,DSC_1x_UVB300_6h,,,,,,,,,,D-b_S36_R1_001.fastq.gz,340,nd,18,286,5.82,511748149,1,1026,5.30E+06,,,,,mRNA
D-c,EKB_20240924,DSC_03_24_3x_UVB300_6h,03_24,3x_UVB300,6h,DSC,,DSC_3x_UVB300_6h,,,,,,,,,,D-c_S37_R1_001.fastq.gz,285,nd,18,280,5.94,511748149,1,1422,7.30E+06,,,,,mRNA
D-d,EKB_20240924,DSC_03_24_control_24h,03_24,control,24h,DSC,,DSC_control_24h,,,,,,,,,,D-d_S38_R1_001.fastq.gz,473,nd,18,291,5.44,511748149,1,1459,7.50E+06,,,,,mRNA
D-e,EKB_20240924,DSC_03_24_1x_UVB300_24h,03_24,1x_UVB300,24h,DSC,,DSC_1x_UVB300_24h,,,,,,,,,,D-e_S39_R1_001.fastq.gz,341,nd,18,282,7.58,511748149,1,1374,7.00E+06,,,,,mRNA
